0,0,180,100,220,140,40,40,228,227,225
0,1,180,140,220,180,40,40,229,232,234
0,2,180,180,220,220,40,40,222,221,223
0,3,180,220,220,260,40,40,197,196,197
0,4,180,260,220,300,40,40,201,199,201
0,5,180,300,220,340,40,40,184,183,185
0,6,180,340,220,380,40,40,171,172,174
1,0,220,100,260,140,40,40,253,253,253
1,1,220,140,260,180,40,40,235,232,232
1,2,220,180,260,220,40,40,218,216,214
1,3,220,220,260,260,40,40,192,180,175
1,4,220,260,260,300,40,40,132,118,110
1,5,220,300,260,340,40,40,141,133,130
1,6,220,340,260,380,40,40,147,144,143
2,0,260,100,300,140,40,40,249,250,250
2,1,260,140,300,180,40,40,244,243,243
2,2,260,180,300,220,40,40,205,192,185
2,3,260,220,300,260,40,40,81,58,46
2,4,260,260,300,300,40,40,39,24,13
2,5,260,300,300,340,40,40,43,25,15
2,6,260,340,300,380,40,40,90,73,65
3,0,300,100,340,140,40,40,240,239,237
3,1,300,140,340,180,40,40,234,235,234
3,2,300,180,340,220,40,40,154,137,122
3,3,300,220,340,260,40,40,54,37,22
3,4,300,260,340,300,40,40,43,23,13
3,5,300,300,340,340,40,40,43,21,11
3,6,300,340,340,380,40,40,39,17,8
4,0,340,100,380,140,40,40,202,200,177
4,1,340,140,380,180,40,40,224,224,216
4,2,340,180,380,220,40,40,124,107,83
4,3,340,220,380,260,40,40,47,30,16
4,4,340,260,380,300,40,40,46,25,14
4,5,340,300,380,340,40,40,42,22,11
4,6,340,340,380,380,40,40,38,17,8
5,0,380,100,420,140,40,40,151,153,122
5,1,380,140,420,180,40,40,117,123,82
5,2,380,180,420,220,40,40,105,101,71
5,3,380,220,420,260,40,40,40,26,13
5,4,380,260,420,300,40,40,33,19,8
5,5,380,300,420,340,40,40,37,20,10
5,6,380,340,420,380,40,40,66,47,41
6,0,420,100,460,140,40,40,111,116,80
6,1,420,140,460,180,40,40,87,93,54
6,2,420,180,460,220,40,40,109,114,85
6,3,420,220,460,260,40,40,113,106,88
6,4,420,260,460,300,40,40,68,51,55
6,5,420,300,460,340,40,40,68,47,37
6,6,420,340,460,380,40,40,103,103,97

